customerID,churn_probability,tenure_risk,contract_risk,health_score,health_category,monthly_charges,annual_revenue_at_risk,recommended_action
7590-VHVEG,0.584689114138607,0.9861111111111112,1.0,21.2,🔴 Critical,29.85,209.44,Immediate outreach — schedule call within 24 hours
5575-GNVDE,0.05154306426148994,0.5277777777777778,0.5,71.6,🟢 Healthy,56.95,35.22,Quarterly review — focus on expansion opportunities
3668-QPYBK,0.27293432885204966,0.9722222222222222,1.0,37.2,🔴 Critical,53.85,176.37,Immediate outreach — schedule call within 24 hours
7795-CFOCW,0.04329803585856582,0.375,0.5,76.6,🟢 Healthy,42.3,21.98,Quarterly review — focus on expansion opportunities
9237-HQITU,0.6758668433805449,0.9722222222222222,1.0,17.0,🔴 Critical,70.7,573.41,Immediate outreach — schedule call within 24 hours
9305-CDSKC,0.8044579790579102,0.8888888888888888,1.0,13.1,🔴 Critical,99.65,961.97,Immediate outreach — schedule call within 24 hours
1452-KIOVK,0.4733566041807863,0.6944444444444444,1.0,35.5,🔴 Critical,89.1,506.11,Immediate outreach — schedule call within 24 hours
6713-OKOMC,0.2836742079998997,0.8611111111111112,1.0,40.0,🔴 Critical,29.75,101.27,Immediate outreach — schedule call within 24 hours
7892-POOKP,0.619018152985582,0.6111111111111112,1.0,30.7,🔴 Critical,104.8,778.48,Immediate outreach — schedule call within 24 hours
6388-TABGU,0.015579505607458636,0.13888888888888884,0.5,85.1,🟢 Healthy,56.15,10.5,Quarterly review — focus on expansion opportunities
9763-GRSKD,0.20830769148592534,0.8194444444444444,1.0,45.0,🟡 At Risk,49.95,124.86,Proactive check-in — contact within 1 week
7469-LKBCI,0.02867546627914726,0.7777777777777778,0.0,75.2,🟢 Healthy,18.95,6.52,Quarterly review — focus on expansion opportunities
8091-TTVAX,0.1712137246676836,0.19444444444444442,0.5,75.6,🟢 Healthy,100.35,206.18,Quarterly review — focus on expansion opportunities
0280-XJGEX,0.40601073289003814,0.3194444444444444,1.0,50.1,🟡 At Risk,103.7,505.24,Proactive check-in — contact within 1 week
5129-JLPIS,0.45532325815055824,0.6527777777777778,1.0,37.7,🔴 Critical,105.5,576.44,Immediate outreach — schedule call within 24 hours
3655-SNQYZ,0.023595417205740387,0.04166666666666663,0.0,97.6,🟢 Healthy,113.25,32.07,Quarterly review — focus on expansion opportunities
8191-XWSZG,0.020623546527612082,0.2777777777777778,0.5,80.6,🟢 Healthy,20.65,5.11,Quarterly review — focus on expansion opportunities
9959-WOFKT,0.03413966306098131,0.01388888888888884,0.0,97.9,🟢 Healthy,106.7,43.71,Quarterly review — focus on expansion opportunities
